caldt,t30ret
19251231,
19260130,0.002951
19260227,0.002768
19260331,0.002778
19260430,0.003072
19260528,0.000342
19260630,0.003459
19260731,0.002243
19260831,0.002536
19260930,0.002273
19261030,0.003195
19261130,0.003093
19261231,0.002778
19270131,0.002463
19270228,0.002570
19270331,0.002959
19270430,0.002546
19270531,0.003008
19270630,0.002583
19270730,0.002991
19270831,0.002757
19270930,0.002096
19271031,0.002520
19271130,0.002086
19271231,0.002230
19280131,0.002225
19280229,0.003294
19280331,0.002936
19280430,0.002224
19280531,0.002920
19280630,0.003122
19280731,0.003226
19280831,0.003216
19280929,0.002723
19281031,0.004378
19281130,0.003874
19281231,0.003451
19290131,0.003332
19290228,0.003508
19290328,0.003431
19290430,0.003567
19290531,0.004388
19290629,0.005193
19290731,0.003345
19290830,0.004030
19290930,0.003573
19291031,0.004796
19291127,0.003547
19291231,0.003661
19300131,0.001393
19300228,0.002964
19300331,0.003475
19300430,0.002104
19300529,0.002581
19300630,0.002693
19300731,0.001984
19300829,0.000580
19300930,0.002192
19301031,0.000866
19301129,0.000999
19301231,0.001398
19310131,0.000555
19310228,0.000407
19310331,0.001887
19310430,0.000827
19310529,0.000875
19310630,0.000504
19310731,0.000591
19310831,0.000388
19310930,0.000417
19311031,0.000812
19311130,0.001669
19311231,0.001252
19320130,0.002367
19320229,0.001447
19320331,0.001147
19320430,0.001145
19320531,0.000445
19320630,0.000220
19320730,0.000250
19320831,0.000267
19320930,0.000309
19321031,0.000178
19321130,0.000146
19321231,0.000108
19330131,0.000108
19330228,-0.000265
19330331,0.000420
19330429,0.000978
19330531,0.000389
19330630,0.000236
19330731,0.000191
19330831,0.000229
19330930,0.000151
19331031,0.000111
19331129,0.000181
19331230,0.000201
19340131,0.000422
19340228,0.000248
19340331,0.000210
19340430,0.000062
19340531,0.000065
19340630,0.000062
19340731,0.000067
19340831,0.000065
19340929,0.000058
19341031,0.000089
19341130,0.000083
19341231,0.000115
19350131,0.000063
19350228,0.000172
19350330,0.000142
19350430,0.000133
19350531,0.000150
19350629,0.000138
19350731,0.000133
19350831,0.000146
19350930,0.000125
19351030,0.000125
19351130,0.000239
19351231,0.000086
19360131,0.000129
19360229,0.000121
19360331,0.000172
19360430,0.000167
19360529,0.000161
19360630,0.000306
19360731,0.000129
19360831,0.000171
19360930,0.000083
19361031,0.000197
19361130,0.000083
19361231,0.000028
19370130,0.000113
19370227,0.000171
19370331,0.000141
19370430,0.000486
19370528,0.000634
19370630,0.000275
19370731,0.000321
19370831,0.000267
19370930,0.000367
19371030,0.000167
19371130,0.000196
19371231,0.000044
19380131,0.000034
19380228,0.000048
19380331,0.000025
19380430,0.000123
19380531,-0.000060
19380630,0.000013
19380730,-0.000054
19380831,0.000036
19380930,0.000182
19381031,0.000104
19381130,-0.000061
19381231,0.000018
19390131,-0.000134
