caldt,vwretd
12/31/1925,
01/30/1926,-0.001783
02/27/1926,-0.033296
03/31/1926,-0.057708
04/30/1926,0.038522
05/28/1926,0.013623
06/30/1926,0.056427
07/31/1926,0.040403
08/31/1926,0.029822
09/30/1926,0.013420
10/30/1926,-0.030172
11/30/1926,0.026937
12/31/1926,0.026047
01/31/1927,-0.002910
02/28/1927,0.045522
03/31/1927,0.007324
04/30/1927,0.013021
05/31/1927,0.062353
06/30/1927,-0.020370
07/30/1927,0.084450
08/31/1927,0.033320
09/30/1927,0.053016
10/31/1927,-0.046804
11/30/1927,0.070546
12/31/1927,0.019295
01/31/1928,-0.007182
02/29/1928,-0.012549
03/31/1928,0.105752
04/30/1928,0.034725
05/31/1928,0.012325
06/30/1928,-0.034330
07/31/1928,0.010117
08/31/1928,0.070230
09/29/1928,0.022409
10/31/1928,0.013839
11/30/1928,0.122975
12/31/1928,0.006232
01/31/1929,0.055473
02/28/1929,-0.004874
03/28/1929,0.000154
04/30/1929,0.019559
05/31/1929,-0.041281
06/29/1929,0.112294
07/31/1929,0.050014
08/30/1929,0.094871
09/30/1929,-0.050941
10/31/1929,-0.186150
11/27/1929,-0.125359
12/31/1929,0.027753
01/31/1930,0.059632
02/28/1930,0.026041
03/31/1930,0.072348
04/30/1930,-0.013938
05/29/1930,-0.011148
06/30/1930,-0.155715
07/31/1930,0.038713
08/29/1930,0.011266
09/30/1930,-0.123549
10/31/1930,-0.083680
11/29/1930,-0.019736
12/31/1930,-0.071479
01/31/1931,0.059527
02/28/1931,0.110943
03/31/1931,-0.068939
04/30/1931,-0.092955
05/29/1931,-0.137674
06/30/1931,0.146492
07/31/1931,-0.075465
08/31/1931,0.007779
09/30/1931,-0.287461
10/31/1931,0.076738
11/30/1931,-0.100909
12/31/1931,-0.137557
01/30/1932,-0.018803
02/29/1932,0.053581
03/31/1932,-0.118907
04/30/1932,-0.205295
05/31/1932,-0.232123
06/30/1932,0.002768
07/30/1932,0.391838
08/31/1932,0.401979
09/30/1932,-0.029526
10/31/1932,-0.142069
11/30/1932,-0.052228
12/31/1932,0.061569
01/31/1933,0.013938
02/28/1933,-0.179558
03/31/1933,0.038627
04/29/1933,0.414312
05/31/1933,0.174816
06/30/1933,0.137498
07/31/1933,-0.084736
08/31/1933,0.123272
09/30/1933,-0.118045
10/31/1933,-0.090623
11/29/1933,0.108553
12/30/1933,0.026694
01/31/1934,0.115033
02/28/1934,-0.032840
03/31/1934,0.005355
04/30/1934,-0.025490
05/31/1934,-0.078497
06/30/1934,0.024080
07/31/1934,-0.119846
08/31/1934,0.058650
09/29/1934,-0.000216
10/31/1934,-0.032663
11/30/1934,0.086059
12/31/1934,-0.000681
01/31/1935,-0.042368
02/28/1935,-0.036840
03/30/1935,-0.031454
04/30/1935,0.096493
05/31/1935,0.038135
06/29/1935,0.070533
07/31/1935,0.083814
08/31/1935,0.026569
09/30/1935,0.025526
10/31/1935,0.071803
11/30/1935,0.051943
12/31/1935,0.039887
01/31/1936,0.071832
02/29/1936,0.022461
03/31/1936,0.024029
04/30/1936,-0.077588
05/29/1936,0.053106
06/30/1936,0.032542
07/31/1936,0.073442
08/31/1936,0.014124
